text,ai
"public class Solution {
    public int maxSum(int[] nums) {
        int[] maxSum = new int[10];
        for (int num : nums) {
            int maxDigit = 0;
            int temp = num;
            while (temp > 0) {
                maxDigit = Math.max(maxDigit, temp % 10);
                temp /= 10;
            }
            for (int i = 0; i < 10; i++) {
                if (i == maxDigit) {
                    maxSum[i] = Math.max(maxSum[i], num + maxSum[i]);
                } else {
                    maxSum[i] = Math.max(maxSum[i], num);
                }
            }
        }
        int res = -1;
        for (int sum : maxSum) {
            res = Math.max(res, sum);
        }
        return res == 0 ? -1 : res;
    }
}",1
"class Solution:
    def maxSum(self, nums: List[int]) -> int:
        max_digit = {}
        for num in nums:
            digit = max(int(d) for d in str(num))
            if digit not in max_digit:
                max_digit[digit] = []
            max_digit[digit].append(num)
        res = -1
        for digit, values in max_digit.items():
            if len(values) >= 2:
                values.sort(reverse=True)
                res = max(res, values[0] + values[1])
        return res",1
"class Solution {
public:
    int maxSum(std::vector<int>& nums) {
        int maxSum = -1;
        for (int i = 0; i < nums.size(); i++) {
            for (int j = i + 1; j < nums.size(); j++) {
                if (maxDigit(nums[i]) == maxDigit(nums[j])) {
                    maxSum = std::max(maxSum, nums[i] + nums[j]);
                }
            }
        }
        return maxSum;
    }

private:
    int maxDigit(int num) {
        int maxDigit = 0;
        while (num > 0) {
            maxDigit = std::max(maxDigit, num % 10);
            num /= 10;
        }
        return maxDigit;
    }
};",1
"class Solution {
    public String finalString(String s) {
        StringBuilder sb = new StringBuilder();
        for (char c : s.toCharArray()) {
            if (c == 'i') {
                sb.reverse();
            } else {
                sb.append(c);
            }
        }
        return sb.toString();
    }
}",1
"class Solution:
    def finalString(self, s: str) -> str:
        res = """"
        for c in s:
            if c == 'i':
                res = res[::-1]
            else:
                res += c
        return res",1
"class Solution {
public:
    std::string finalString(std::string s) {
        std::string result = """";
        for (char c : s) {
            if (c == 'i') {
                std::reverse(result.begin(), result.end());
            } else {
                result += c;
            }
        }
        return result;
    }
};",1
"public class Solution {
    public int minAbsoluteDifference(List<Integer> nums, int x) {
        TreeMap<Integer, Integer> map = new TreeMap<>();
        map.put(nums.get(0), 0);
        int n = nums.size();
        int minDiff = Integer.MAX_VALUE;

        for (int i = 1; i < n; i++) {
            if (i >= x) {
                map.remove(nums.get(i - x));
            }
            Integer lower = map.floorKey(nums.get(i));
            Integer higher = map.ceilingKey(nums.get(i));
            if (lower != null) {
                minDiff = Math.min(minDiff, Math.abs(nums.get(i) - lower));
            }
            if (higher != null) {
                minDiff = Math.min(minDiff, Math.abs(nums.get(i) - higher));
            }
            map.put(nums.get(i), i);
        }

        return minDiff;
    }
}",1
"class Solution:
    def minAbsoluteDifference(self, nums: List[int], x: int) -> int:
        n = len(nums)
        min_diff = float('inf')
        for i in range(n):
            for j in range(i + x, n):
                min_diff = min(min_diff, abs(nums[i] - nums[j]))
        return min_diff",1
"class Solution {
public:
    int minAbsoluteDifference(std::vector<int>& nums, int x) {
        int minDiff = INT_MAX;
        for (int i = 0; i < nums.size(); i++) {
            for (int j = i + x; j < nums.size(); j++) {
                minDiff = std::min(minDiff, std::abs(nums[i] - nums[j]));
            }
        }
        return minDiff;
    }
};",1
"class Solution {
    public ListNode doubleIt(ListNode head) {
        // Convert linked list to number
        long num = 0;
        while (head != null) {
            num = num * 10 + head.val;
            head = head.next;
        }

        // Double the number
        num *= 2;

        // Convert number back to linked list
        ListNode dummy = new ListNode(0);
        ListNode curr = dummy;
        do {
            curr.next = new ListNode((int)(num % 10));
            num /= 10;
            curr = curr.next;
        } while (num > 0);

        // Reverse the linked list and return
        return reverse(dummy.next);
    }

    private ListNode reverse(ListNode head) {
        ListNode prev = null;
        while (head != null) {
            ListNode next = head.next;
            head.next = prev;
            prev = head;
            head = next;
        }
        return prev;
    }
}",1
"class Solution:
    def doubleIt(self, head: Optional[ListNode]) -> Optional[ListNode]:
        # Convert linked list to integer
        num = 0
        curr = head
        while curr:
            num = num * 10 + curr.val
            curr = curr.next

        # Double the integer
        num *= 2

        # Convert integer to linked list
        dummy = ListNode(0)
        curr = dummy
        for digit in str(num):
            curr.next = ListNode(int(digit))
            curr = curr.next

        return dummy.next",1
"class Solution {
public:
    ListNode* doubleIt(ListNode* head) {
        ListNode* current = head;
        int carry = 0;
        while (current != nullptr) {
            int sum = current->val * 2 + carry;
            current->val = sum % 10;
            carry = sum / 10;
            if (current->next == nullptr && carry > 0) {
                current->next = new ListNode(carry);
                break;
            }
            current = current->next;
        }
        return head;
    }
};",1
"public class Solution {
    private static final int MOD = 1_000_000_007;
    private List<Integer> nums;
    private int n;
    private List<Integer>[] factors;

    public int maximumScore(List<Integer> nums, int k) {
        this.nums = nums;
        this.n = nums.size();
        this.factors = new ArrayList[n];
        for (int i = 0; i < n; i++) {
            factors[i] = primeFactors(nums.get(i));
        }

        PriorityQueue<int[]> pq = new PriorityQueue<>((a, b) -> b[2] - a[2]);
        pq.offer(new int[]{0, n - 1, maxPrimeScore(0, n - 1)});

        long res = 1;
        boolean[] chosen = new boolean[n];
        while (k-- > 0) {
            int[] cur = pq.poll();
            int l = cur[0], r = cur[1], maxScore = cur[2];
            res = (res * maxScore) % MOD;

            int maxIdx = maxPrimeScoreIndex(l, r);
            chosen[maxIdx] = true;

            if (maxIdx - 1 >= l && !chosen[maxIdx - 1]) {
                pq.offer(new int[]{l, maxIdx - 1, maxPrimeScore(l, maxIdx - 1)});
            }
            if (maxIdx + 1 <= r && !chosen[maxIdx + 1]) {
                pq.offer(new int[]{maxIdx + 1, r, maxPrimeScore(maxIdx + 1, r)});
            }
        }

        return (int) res;
    }

    private List<Integer> primeFactors(int num) {
        List<Integer> factors = new ArrayList<>();
        for (int i = 2; i * i <= num; i++) {
            if (num % i == 0) {
                factors.add(i);
                while (num % i == 0) {
                    num /= i;
                }
            }
        }
        if (num > 1) {
            factors.add(num);
        }
        return factors;
    }

    private int maxPrimeScore(int l, int r) {
        int maxScore = 0;
        for (int i = l; i <= r; i++) {
            maxScore = Math.max(maxScore, factors[i].size());
        }
        return maxScore;
    }

    private int maxPrimeScoreIndex(int l, int r) {
        int maxScore = 0, idx = -1;
        for (int i = l; i <= r; i++) {
            if (factors[i].size() >= maxScore) {
                maxScore = factors[i].size();
                idx = i;
            }
        }
        return idx;
    }
}",1
"class Solution:
    def maximumScore(self, nums: List[int], k: int) -> int:
        n = len(nums)
        MOD = 10**9 + 7

        # Precompute the prime score of all numbers in nums
        prime_score = [0] * n
        for i, num in enumerate(nums):
            for j in range(2, int(sqrt(num)) + 1):
                if num % j == 0:
                    prime_score[i] += 1
                    while num % j == 0:
                        num //= j
            if num > 1:
                prime_score[i] += 1

        # Compute the maximum score using dynamic programming
        dp = [1]
        for _ in range(k):
            new_dp = [0] * (n + 1)
            for l in range(n):
                for r in range(l, n):
                    max_prime_score = max(prime_score[l:r+1])
                    max_index = prime_score[l:r+1].index(max_prime_score) + l
                    new_dp[r+1] = max(new_dp[r+1], dp[l] * nums[max_index] % MOD)
            dp = new_dp

        return max(dp) % MOD",1
"class Solution {
public:
    int maximumScore(std::vector<int>& nums, int k) {
        const int MOD = 1e9 + 7;
        int n = nums.size();
        std::vector<int> primeScore(n);
        for (int i = 0; i < n; i++) {
            primeScore[i] = getPrimeScore(nums[i]);
        }
        std::vector<std::vector<long long>> dp(n, std::vector<long long>(k + 1));
        for (int i = 0; i < n; i++) {
            dp[i][0] = nums[i];
            for (int j = 1; j <= k; j++) {
                for (int l = 0; l < i; l++) {
                    if (primeScore[l] >= primeScore[i]) {
                        dp[i][j] = std::max(dp[i][j], dp[l][j - 1] * nums[i] % MOD);
                    }
                }
            }
        }
        long long maxScore = 0;
        for (int i = 0; i < n; i++) {
            maxScore = std::max(maxScore, dp[i][k]);
        }
        return maxScore % MOD;
    }

private:
    int getPrimeScore(int num) {
        int score = 0;
        for (int i = 2; i <= std::sqrt(num); i++) {
            if (num % i == 0) {
                score++;
                while (num % i == 0) {
                    num /= i;
                }
            }
        }
        if (num > 1) {
            score++;
        }
        return score;
    }
};",1
